event,iteration,wallclock_seconds,learning_rate,train_step_loss,train_eval_loss,val_eval_loss
train_step,2950,476.9317786410011,0.00029744514127811575,1.8542841672897339,,
train_step,3000,484.571826712001,0.00029734014451862585,1.9491219520568848,,
eval,3000,484.571826712001,0.00029734014451862585,,1.9038705229759216,1.9146827125549317
train_step,3050,496.9241219120013,0.0002972330549164001,1.9083058834075928,,
train_step,3100,504.53944750899973,0.000297123874164966,1.8331799507141113,,
train_step,3150,512.1800114690013,0.000297012603990921,1.8800309896469116,,
train_step,3200,519.7961939830002,0.00029689924615390487,1.8423635959625244,,
train_step,3250,533.3882303990013,0.00029678380244657187,1.8505629301071167,,
train_step,3300,541.2674003350003,0.00029666627469456235,1.8854435682296753,,
train_step,3350,549.0212430580013,0.0002965466647564743,1.8502376079559326,,
train_step,3400,556.7555497320009,0.00029642497452383326,1.7936241626739502,,
train_step,3450,564.4836205390002,0.00029630120592106314,1.776301622390747,,
train_step,3500,572.1455465010004,0.0002961753609054553,1.8246033191680908,,
eval,3500,572.1455465010004,0.0002961753609054553,,1.8639610314369202,1.8700592803955078
train_step,3550,584.273874253,0.0002960474414671377,1.8774492740631104,,
train_step,3600,591.8839526730007,0.0002959174496290435,1.8093516826629639,,
train_step,3650,599.4914663840009,0.000295785387446879,1.7980005741119385,,
train_step,3700,607.1270905660003,0.00029565125700909133,1.8388328552246094,,
train_step,3750,614.7303795870012,0.000295515060436835,1.872267484664917,,
train_step,3800,622.3422218169999,0.0002953767998839388,1.9141836166381836,,
train_step,3850,629.9505316920004,0.0002952364775368715,1.8151965141296387,,
train_step,3900,637.5536410530003,0.0002950940956147074,1.8356281518936157,,
train_step,3950,645.1631427350003,0.00029494965636909105,1.790325403213501,,
train_step,4000,652.7708431560004,0.00029480316208420175,1.8245573043823242,,
eval,4000,652.7708431560004,0.00029480316208420175,,1.8100660490989684,1.8095888495445251
